example_id                                       | status | run_time              |
./spec/requests/logs_spec.rb[1:2:2:1]            | passed | 0.07731 seconds       |
./spec/requests/notifications_spec.rb[1:1:1:1]   | passed | 0.20045 seconds       |
./spec/requests/notifications_spec.rb[1:1:2:1]   | passed | 0.06104 seconds       |
./spec/requests/notifications_spec.rb[1:2:1:1]   | passed | 0.10937 seconds       |
./spec/requests/notifications_spec.rb[1:2:1:2]   | passed | 0.12206 seconds       |
./spec/requests/notifications_spec.rb[1:2:2:1]   | passed | 0.14047 seconds       |
./spec/requests/notifications_spec.rb[1:2:2:2]   | passed | 0.17333 seconds       |
./spec/requests/relationship_spec.rb[1:1:1]      | passed | 1.21 seconds          |
./spec/requests/relationship_spec.rb[1:1:2]      | passed | 0.72956 seconds       |
./spec/requests/relationship_spec.rb[1:1:3]      | passed | 0.22178 seconds       |
./spec/requests/relationship_spec.rb[1:1:4]      | passed | 1.18 seconds          |
./spec/requests/relationship_spec.rb[1:2:1]      | passed | 0.17977 seconds       |
./spec/requests/relationship_spec.rb[1:2:2]      | passed | 0.104 seconds         |
./spec/requests/relationship_spec.rb[1:2:3]      | passed | 0.04076 seconds       |
./spec/requests/relationship_spec.rb[1:2:4]      | passed | 0.06146 seconds       |
./spec/requests/static_pages_spec.rb[1:1:1]      | passed | 0.12414 seconds       |
./spec/requests/static_pages_spec.rb[1:2:1]      | passed | 0.09947 seconds       |
./spec/requests/static_pages_spec.rb[1:3:1]      | passed | 0.23818 seconds       |
./spec/requests/users_destroy_spec.rb[1:1:1]     | passed | 0.57554 seconds       |
./spec/requests/users_destroy_spec.rb[1:2:1]     | passed | 0.21171 seconds       |
./spec/requests/users_destroy_spec.rb[1:2:2]     | passed | 0.38786 seconds       |
./spec/requests/users_destroy_spec.rb[1:3:1]     | passed | 0.2128 seconds        |
./spec/requests/users_destroy_spec.rb[1:4:1]     | passed | 0.39972 seconds       |
./spec/requests/users_edit_spec.rb[1:1:1]        | passed | 0.60938 seconds       |
./spec/requests/users_edit_spec.rb[1:2:1]        | passed | 0.18048 seconds       |
./spec/requests/users_edit_spec.rb[1:3:1]        | passed | 0.15706 seconds       |
./spec/requests/users_index_spec.rb[1:1:1]       | passed | 0.17625 seconds       |
./spec/requests/users_index_spec.rb[1:2:1]       | passed | 0.23656 seconds       |
./spec/requests/users_index_spec.rb[1:3]         | passed | 0.13736 seconds       |
./spec/requests/users_login_spec.rb[1:1]         | passed | 0.14825 seconds       |
./spec/requests/users_login_spec.rb[1:2]         | passed | 0.881 seconds         |
./spec/requests/users_login_spec.rb[1:3]         | passed | 0.10999 seconds       |
./spec/requests/users_show_spec.rb[1:1]          | passed | 0.11407 seconds       |
./spec/requests/users_signup_spec.rb[1:1]        | passed | 0.08409 seconds       |
./spec/requests/users_signup_spec.rb[1:2]        | passed | 0.14101 seconds       |
./spec/requests/users_signup_spec.rb[1:3]        | passed | 0.17301 seconds       |
./spec/system/courses_spec.rb[1:1:1:1]           | passed | 1.23 seconds          |
./spec/system/courses_spec.rb[1:1:1:2]           | passed | 1.09 seconds          |
./spec/system/courses_spec.rb[1:1:1:3]           | passed | 1.56 seconds          |
